wavelength	response
16770.0	0.8779980000000001
16780.0	0.87818
16790.0	0.878343
16800.0	0.8784470000000001
16810.0	0.87846
16820.0	0.8783610000000001
16830.0	0.87818
16840.0	0.8779330000000001
16850.0	0.877522
16860.0	0.87682
16870.0	0.8757739999999999
16880.0	0.8746299999999999
16890.0	0.873641
16900.0	0.872798
16910.0	0.8720300000000001
16920.0	0.871267
16930.0	0.870462
16940.0	0.86957
16950.0	0.8686069999999999
16960.0	0.86782
16970.0	0.867439
16980.0	0.86741
16990.0	0.8676130000000001
17000.0	0.867962
17010.0	0.8683799999999999
17020.0	0.868788
17030.0	0.86911
17040.0	0.8692700000000001
17050.0	0.8692390000000001
17060.0	0.86917
17070.0	0.869232
17080.0	0.86946
17090.0	0.869842
17100.0	0.870314
17110.0	0.8708
