MJD Phase Instrument Telescope Band l_Mag Mag e_Mag Delta Ref Used Average Repeated Outlier Excluded
57990.98 8.451 EFOSC2 NTT r > 21.40 "" 0.0 2017Natur.551...75S * "" "" "" ""
57990.989 8.46 VIMOS VLT r "" 21.75 0.05 0.0 2017ApJ...848L..27T * "" "" "" ""
57990.997 8.468 DECam Blanco/CTIO r "" 21.95 0.18 0.0 2017ApJ...848L..17C * "" "" "" ""
57991.004 8.475 AltaU47+ Prompt5 r > 20.37 "" 0.0 2017ApJ...848L..24V * "" "" "" ""
57991.989 9.46 AltaU47+ Prompt5 r > 19.90 "" 0.0 2017ApJ...848L..24V * "" "" "" ""
57991.989 9.46 VIMOS VLT r "" 22.20 0.04 0.0 2017ApJ...848L..27T * "" "" "" ""
57992.989 10.46 VIMOS VLT r "" 22.45 0.07 0.0 2017ApJ...848L..27T * "" "" "" ""
57993.387 10.858 Skymapper Skymapper r > 19.36 "" 0.0 2017arXiv171005846A * "" "" "" ""
57993.4 10.871 Skymapper Skymapper r > 19.39 "" 0.0 2017arXiv171005846A * "" "" "" ""
57994.969 12.44 VIMOS VLT r "" 23.12 0.31 0.0 2017ApJ...848L..27T * "" "" "" ""
57995.389 12.86 Skymapper Skymapper r > 19.32 "" 0.0 2017arXiv171005846A * "" "" "" ""
57998.999 16.47 GMOS Gemini-S r > 21.18 "" 0.0 2017arXiv171005436K * "" "" "" ""
58000.009 17.48 GMOS Gemini-S r > 21.98 "" 0.0 2017arXiv171005436K * "" "" "" ""
