Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57983.989  1.460 -           KMTNet/CTIO V       18.28  0.04  0.00 2017Natur.551...71T *         
57983.989  1.460 VIRCAM      VISTA       Ks      17.77  0.02  0.00 2017ApJ...848L..27T *         
57983.989  1.460 VIRCAM      VISTA       J       17.45  0.01  0.00 2017ApJ...848L..27T *         
57983.990  1.461 T80Cam      T80S        r       17.99  0.03  0.00 2017ApJ...848L..29D *         
57983.990  1.461 FourStar    Magellan    H       17.52  0.01  0.00 2017arXiv171005443D *         
57983.991  1.462 T80Cam      T80S        i       17.78  0.02  0.00 2017ApJ...848L..29D *         
57983.991  1.462 AltaU47+    Prompt5     r       18.00  0.06  0.00 2017ApJ...848L..24V *         
57983.992  1.463 T80Cam      T80S        i       17.79  0.02  0.00 2017ApJ...848L..29D *         
57983.993  1.464 T80Cam      T80S        i       17.80  0.03  0.00 2017ApJ...848L..29D *         
57983.994  1.465 T80Cam      T80S        g       18.65  0.03  0.00 2017ApJ...848L..29D *         
57983.995  1.466 E2V4kx4kccd Swope       V       18.22  0.04  0.00 2017arXiv171005452C *         
57983.995  1.466 T80Cam      T80S        g       18.60  0.04  0.00 2017ApJ...848L..29D *         
57983.996  1.467 T80Cam      T80S        g       18.63  0.04  0.00 2017ApJ...848L..29D *         
57983.997  1.468 T80Cam      T80S        r       18.02  0.03  0.00 2017ApJ...848L..29D *         
57983.999  1.470 T80Cam      T80S        r       18.02  0.02  0.00 2017ApJ...848L..29D *         
57983.999  1.470 VIRCAM      VISTA       Y       17.23  0.01  0.00 2017ApJ...848L..27T *         
57984.000  1.471 T80Cam      T80S        r       18.04  0.02  0.00 2017ApJ...848L..29D *         
57984.000  1.471 XS          VLT         r       17.95  0.02  0.00 2017Natur.551...67P *         
57984.000  1.471 XS          VLT         z       17.65  0.07  0.00 2017Natur.551...67P *         
57984.000  1.471 FLAMINGOS-2 Gemini-S    H       17.63  0.10  0.00 2017ApJ...848L..17C *         
57984.001  1.472 T80Cam      T80S        i       17.74  0.02  0.00 2017ApJ...848L..29D *         
57984.002  1.473 T80Cam      T80S        i       17.86  0.03  0.00 2017ApJ...848L..29D *         
57984.002  1.473 FourStar    Magellan    J1      17.32  0.01  0.00 2017arXiv171005443D *         
57984.003  1.474 T80Cam      T80S        i       17.85  0.03  0.00 2017ApJ...848L..29D *         
57984.004  1.475 T80Cam      T80S        g       18.69  0.04  0.00 2017ApJ...848L..29D *         
57984.005  1.476 T80Cam      T80S        g       18.67  0.03  0.00 2017ApJ...848L..29D *         
57984.007  1.478 T80Cam      T80S        g       18.62  0.04  0.00 2017ApJ...848L..29D *         
57984.008  1.479 T80Cam      T80S        r       18.01  0.02  0.00 2017ApJ...848L..29D *         
57984.009  1.480 T80Cam      T80S        r       18.01  0.02  0.00 2017ApJ...848L..29D *         
57984.010  1.481 T80Cam      T80S        r       18.07  0.03  0.00 2017ApJ...848L..29D *         
